variable,op1,op2,n1,n2,n3,intermediate,answer,eq1,eq2,eqfull
u,+,*,3,5,2,8,16,u=3+5,u*2=,u=3+5. u*2=
k,*,-,4,8,4,32,28,k=4*8,k-4=,k=4*8. k-4=
a,//,+,4,3,3,1,4,a=4//3,a+3=,a=4//3. a+3=
f,+,//,7,3,8,10,1,f=7+3,f//8=,f=7+3. f//8=
j,-,*,9,7,6,2,12,j=9-7,j*6=,j=9-7. j*6=
k,*,*,9,6,8,54,432,k=9*6,k*8=,k=9*6. k*8=
h,-,+,5,2,7,3,10,h=5-2,h+7=,h=5-2. h+7=
c,-,//,6,5,9,1,0,c=6-5,c//9=,c=6-5. c//9=
h,+,-,3,1,4,4,0,h=3+1,h-4=,h=3+1. h-4=
i,//,//,1,6,1,0,0,i=1//6,i//1=,i=1//6. i//1=
a,+,//,5,9,5,14,2,a=5+9,a//5=,a=5+9. a//5=
r,+,//,3,2,9,5,0,r=3+2,r//9=,r=3+2. r//9=
z,*,//,7,5,2,35,17,z=7*5,z//2=,z=7*5. z//2=
i,//,+,7,1,7,7,14,i=7//1,i+7=,i=7//1. i+7=
z,*,*,2,6,4,12,48,z=2*6,z*4=,z=2*6. z*4=
d,-,-,5,8,6,-3,-9,d=5-8,d-6=,d=5-8. d-6=
e,//,+,8,2,3,4,7,e=8//2,e+3=,e=8//2. e+3=
c,+,-,2,1,3,3,0,c=2+1,c-3=,c=2+1. c-3=
a,+,//,2,7,7,9,1,a=2+7,a//7=,a=2+7. a//7=
b,-,+,9,8,6,1,7,b=9-8,b+6=,b=9-8. b+6=
u,+,-,7,9,4,16,12,u=7+9,u-4=,u=7+9. u-4=
s,*,*,4,8,8,32,256,s=4*8,s*8=,s=4*8. s*8=
o,*,*,4,5,7,20,140,o=4*5,o*7=,o=4*5. o*7=
h,-,*,8,5,7,3,21,h=8-5,h*7=,h=8-5. h*7=
e,//,//,4,9,8,0,0,e=4//9,e//8=,e=4//9. e//8=
a,//,-,6,6,5,1,-4,a=6//6,a-5=,a=6//6. a-5=
p,-,//,6,5,2,1,0,p=6-5,p//2=,p=6-5. p//2=
t,-,+,5,1,3,4,7,t=5-1,t+3=,t=5-1. t+3=
b,//,-,4,3,1,1,0,b=4//3,b-1=,b=4//3. b-1=
r,+,+,5,9,9,14,23,r=5+9,r+9=,r=5+9. r+9=
a,+,//,8,9,7,17,2,a=8+9,a//7=,a=8+9. a//7=
f,+,//,2,5,1,7,7,f=2+5,f//1=,f=2+5. f//1=
t,//,//,7,9,9,0,0,t=7//9,t//9=,t=7//9. t//9=
p,+,-,6,5,8,11,3,p=6+5,p-8=,p=6+5. p-8=
e,-,//,9,2,4,7,1,e=9-2,e//4=,e=9-2. e//4=
z,*,*,6,2,3,12,36,z=6*2,z*3=,z=6*2. z*3=
m,-,-,9,9,8,0,-8,m=9-9,m-8=,m=9-9. m-8=
y,*,-,6,1,2,6,4,y=6*1,y-2=,y=6*1. y-2=
r,-,+,9,9,2,0,2,r=9-9,r+2=,r=9-9. r+2=
l,-,//,9,4,2,5,2,l=9-4,l//2=,l=9-4. l//2=
h,+,*,8,1,8,9,72,h=8+1,h*8=,h=8+1. h*8=
z,-,//,3,3,9,0,0,z=3-3,z//9=,z=3-3. z//9=
x,-,//,2,5,2,-3,-2,x=2-5,x//2=,x=2-5. x//2=
i,*,*,8,7,4,56,224,i=8*7,i*4=,i=8*7. i*4=
n,-,+,1,3,8,-2,6,n=1-3,n+8=,n=1-3. n+8=
r,*,+,4,6,6,24,30,r=4*6,r+6=,r=4*6. r+6=
o,-,+,1,5,9,-4,5,o=1-5,o+9=,o=1-5. o+9=
v,*,//,8,8,4,64,16,v=8*8,v//4=,v=8*8. v//4=
y,*,+,6,5,8,30,38,y=6*5,y+8=,y=6*5. y+8=
v,-,-,4,9,7,-5,-12,v=4-9,v-7=,v=4-9. v-7=
f,-,-,8,1,7,7,0,f=8-1,f-7=,f=8-1. f-7=
g,-,//,1,1,6,0,0,g=1-1,g//6=,g=1-1. g//6=
e,//,+,4,2,2,2,4,e=4//2,e+2=,e=4//2. e+2=
z,+,*,9,2,4,11,44,z=9+2,z*4=,z=9+2. z*4=
q,*,//,6,4,9,24,2,q=6*4,q//9=,q=6*4. q//9=
s,-,+,6,6,2,0,2,s=6-6,s+2=,s=6-6. s+2=
z,+,//,1,1,7,2,0,z=1+1,z//7=,z=1+1. z//7=
h,//,//,3,1,5,3,0,h=3//1,h//5=,h=3//1. h//5=
g,//,-,7,6,7,1,-6,g=7//6,g-7=,g=7//6. g-7=
n,-,-,1,3,3,-2,-5,n=1-3,n-3=,n=1-3. n-3=
z,+,//,2,4,8,6,0,z=2+4,z//8=,z=2+4. z//8=
m,//,+,5,9,2,0,2,m=5//9,m+2=,m=5//9. m+2=
c,+,*,1,6,1,7,7,c=1+6,c*1=,c=1+6. c*1=
w,*,//,2,3,4,6,1,w=2*3,w//4=,w=2*3. w//4=
p,+,*,7,9,4,16,64,p=7+9,p*4=,p=7+9. p*4=
m,*,+,4,1,1,4,5,m=4*1,m+1=,m=4*1. m+1=
q,+,-,6,1,1,7,6,q=6+1,q-1=,q=6+1. q-1=
m,+,*,1,7,9,8,72,m=1+7,m*9=,m=1+7. m*9=
f,*,*,4,5,4,20,80,f=4*5,f*4=,f=4*5. f*4=
v,-,//,5,5,4,0,0,v=5-5,v//4=,v=5-5. v//4=
b,*,-,7,4,2,28,26,b=7*4,b-2=,b=7*4. b-2=
v,//,-,4,5,9,0,-9,v=4//5,v-9=,v=4//5. v-9=
a,+,-,3,2,8,5,-3,a=3+2,a-8=,a=3+2. a-8=
j,-,*,3,3,6,0,0,j=3-3,j*6=,j=3-3. j*6=
f,//,+,8,2,2,4,6,f=8//2,f+2=,f=8//2. f+2=
b,//,-,2,5,8,0,-8,b=2//5,b-8=,b=2//5. b-8=
o,*,//,8,4,9,32,3,o=8*4,o//9=,o=8*4. o//9=
j,-,+,1,7,2,-6,-4,j=1-7,j+2=,j=1-7. j+2=
r,*,//,8,1,4,8,2,r=8*1,r//4=,r=8*1. r//4=
q,+,-,9,4,6,13,7,q=9+4,q-6=,q=9+4. q-6=
r,//,//,4,3,2,1,0,r=4//3,r//2=,r=4//3. r//2=
g,*,-,9,2,3,18,15,g=9*2,g-3=,g=9*2. g-3=
q,+,+,1,5,4,6,10,q=1+5,q+4=,q=1+5. q+4=
w,+,+,9,6,6,15,21,w=9+6,w+6=,w=9+6. w+6=
u,-,*,1,7,6,-6,-36,u=1-7,u*6=,u=1-7. u*6=
q,*,*,1,9,3,9,27,q=1*9,q*3=,q=1*9. q*3=
z,+,*,1,1,9,2,18,z=1+1,z*9=,z=1+1. z*9=
o,//,-,2,6,6,0,-6,o=2//6,o-6=,o=2//6. o-6=
e,//,+,3,5,1,0,1,e=3//5,e+1=,e=3//5. e+1=
b,*,//,8,2,8,16,2,b=8*2,b//8=,b=8*2. b//8=
r,//,//,9,5,3,1,0,r=9//5,r//3=,r=9//5. r//3=
n,//,*,9,6,6,1,6,n=9//6,n*6=,n=9//6. n*6=
f,+,+,6,6,9,12,21,f=6+6,f+9=,f=6+6. f+9=
l,-,+,1,4,8,-3,5,l=1-4,l+8=,l=1-4. l+8=
v,*,-,2,6,6,12,6,v=2*6,v-6=,v=2*6. v-6=
k,+,//,7,5,5,12,2,k=7+5,k//5=,k=7+5. k//5=
h,+,*,3,5,3,8,24,h=3+5,h*3=,h=3+5. h*3=
k,+,*,4,3,7,7,49,k=4+3,k*7=,k=4+3. k*7=
j,//,//,7,1,7,7,1,j=7//1,j//7=,j=7//1. j//7=
l,-,-,3,9,3,-6,-9,l=3-9,l-3=,l=3-9. l-3=
p,*,*,4,6,3,24,72,p=4*6,p*3=,p=4*6. p*3=
n,*,-,9,6,2,54,52,n=9*6,n-2=,n=9*6. n-2=
w,+,-,2,3,3,5,2,w=2+3,w-3=,w=2+3. w-3=
c,+,//,5,6,4,11,2,c=5+6,c//4=,c=5+6. c//4=
o,-,*,7,8,9,-1,-9,o=7-8,o*9=,o=7-8. o*9=
o,-,*,7,5,7,2,14,o=7-5,o*7=,o=7-5. o*7=
y,//,-,6,7,2,0,-2,y=6//7,y-2=,y=6//7. y-2=
n,-,+,3,6,6,-3,3,n=3-6,n+6=,n=3-6. n+6=
e,+,-,6,1,9,7,-2,e=6+1,e-9=,e=6+1. e-9=
v,*,-,6,9,7,54,47,v=6*9,v-7=,v=6*9. v-7=
q,*,*,7,6,3,42,126,q=7*6,q*3=,q=7*6. q*3=
e,-,-,4,5,3,-1,-4,e=4-5,e-3=,e=4-5. e-3=
y,*,*,1,5,3,5,15,y=1*5,y*3=,y=1*5. y*3=
z,//,//,9,9,5,1,0,z=9//9,z//5=,z=9//9. z//5=
h,-,//,9,4,2,5,2,h=9-4,h//2=,h=9-4. h//2=
u,+,*,6,2,5,8,40,u=6+2,u*5=,u=6+2. u*5=
t,*,*,1,1,3,1,3,t=1*1,t*3=,t=1*1. t*3=
y,*,+,3,2,9,6,15,y=3*2,y+9=,y=3*2. y+9=
h,*,-,2,7,1,14,13,h=2*7,h-1=,h=2*7. h-1=
j,-,//,4,8,4,-4,-1,j=4-8,j//4=,j=4-8. j//4=
n,//,+,4,2,7,2,9,n=4//2,n+7=,n=4//2. n+7=
f,*,*,6,1,3,6,18,f=6*1,f*3=,f=6*1. f*3=
y,//,*,1,3,3,0,0,y=1//3,y*3=,y=1//3. y*3=
f,*,*,2,4,5,8,40,f=2*4,f*5=,f=2*4. f*5=
u,//,-,2,3,7,0,-7,u=2//3,u-7=,u=2//3. u-7=
w,//,//,5,9,4,0,0,w=5//9,w//4=,w=5//9. w//4=
c,+,//,5,4,8,9,1,c=5+4,c//8=,c=5+4. c//8=
h,-,*,5,6,3,-1,-3,h=5-6,h*3=,h=5-6. h*3=
n,*,-,6,9,4,54,50,n=6*9,n-4=,n=6*9. n-4=
q,*,-,1,9,4,9,5,q=1*9,q-4=,q=1*9. q-4=
f,+,*,2,6,8,8,64,f=2+6,f*8=,f=2+6. f*8=
z,+,//,8,5,7,13,1,z=8+5,z//7=,z=8+5. z//7=
m,//,-,9,3,5,3,-2,m=9//3,m-5=,m=9//3. m-5=
d,-,-,6,4,5,2,-3,d=6-4,d-5=,d=6-4. d-5=
k,-,//,5,7,6,-2,-1,k=5-7,k//6=,k=5-7. k//6=
m,+,+,2,3,2,5,7,m=2+3,m+2=,m=2+3. m+2=
c,*,+,2,4,2,8,10,c=2*4,c+2=,c=2*4. c+2=
k,+,-,6,9,3,15,12,k=6+9,k-3=,k=6+9. k-3=
x,*,*,4,8,7,32,224,x=4*8,x*7=,x=4*8. x*7=
f,*,-,2,3,5,6,1,f=2*3,f-5=,f=2*3. f-5=
w,-,-,5,2,6,3,-3,w=5-2,w-6=,w=5-2. w-6=
n,+,*,5,5,2,10,20,n=5+5,n*2=,n=5+5. n*2=
j,+,+,4,1,3,5,8,j=4+1,j+3=,j=4+1. j+3=
m,-,+,1,7,4,-6,-2,m=1-7,m+4=,m=1-7. m+4=
c,*,-,9,5,2,45,43,c=9*5,c-2=,c=9*5. c-2=
l,//,+,9,7,1,1,2,l=9//7,l+1=,l=9//7. l+1=
p,-,+,4,6,1,-2,-1,p=4-6,p+1=,p=4-6. p+1=
l,//,*,1,9,4,0,0,l=1//9,l*4=,l=1//9. l*4=
a,*,//,2,2,8,4,0,a=2*2,a//8=,a=2*2. a//8=
a,//,*,1,5,6,0,0,a=1//5,a*6=,a=1//5. a*6=
d,+,*,6,7,5,13,65,d=6+7,d*5=,d=6+7. d*5=
s,-,*,5,7,2,-2,-4,s=5-7,s*2=,s=5-7. s*2=
j,-,*,3,1,7,2,14,j=3-1,j*7=,j=3-1. j*7=
l,+,-,6,6,5,12,7,l=6+6,l-5=,l=6+6. l-5=
l,+,//,4,3,5,7,1,l=4+3,l//5=,l=4+3. l//5=
h,-,+,4,5,1,-1,0,h=4-5,h+1=,h=4-5. h+1=
z,+,*,9,4,2,13,26,z=9+4,z*2=,z=9+4. z*2=
t,*,//,3,5,1,15,15,t=3*5,t//1=,t=3*5. t//1=
s,//,+,3,3,3,1,4,s=3//3,s+3=,s=3//3. s+3=
h,-,*,5,9,2,-4,-8,h=5-9,h*2=,h=5-9. h*2=
g,//,//,4,2,3,2,0,g=4//2,g//3=,g=4//2. g//3=
n,//,+,8,2,1,4,5,n=8//2,n+1=,n=8//2. n+1=
b,-,//,2,3,4,-1,-1,b=2-3,b//4=,b=2-3. b//4=
b,//,//,5,8,5,0,0,b=5//8,b//5=,b=5//8. b//5=
c,*,-,7,4,7,28,21,c=7*4,c-7=,c=7*4. c-7=
g,-,+,7,5,6,2,8,g=7-5,g+6=,g=7-5. g+6=
b,//,*,5,9,7,0,0,b=5//9,b*7=,b=5//9. b*7=
s,-,-,4,4,4,0,-4,s=4-4,s-4=,s=4-4. s-4=
y,*,*,8,7,2,56,112,y=8*7,y*2=,y=8*7. y*2=
q,//,//,5,6,6,0,0,q=5//6,q//6=,q=5//6. q//6=
y,*,*,5,5,2,25,50,y=5*5,y*2=,y=5*5. y*2=
y,+,*,7,6,4,13,52,y=7+6,y*4=,y=7+6. y*4=
g,+,*,3,6,6,9,54,g=3+6,g*6=,g=3+6. g*6=
j,//,//,8,3,1,2,2,j=8//3,j//1=,j=8//3. j//1=
r,+,//,6,9,4,15,3,r=6+9,r//4=,r=6+9. r//4=
n,*,*,2,4,4,8,32,n=2*4,n*4=,n=2*4. n*4=
t,*,*,6,1,7,6,42,t=6*1,t*7=,t=6*1. t*7=
b,*,*,9,8,7,72,504,b=9*8,b*7=,b=9*8. b*7=
p,-,*,4,7,6,-3,-18,p=4-7,p*6=,p=4-7. p*6=
f,+,*,9,2,4,11,44,f=9+2,f*4=,f=9+2. f*4=
q,*,//,7,9,3,63,21,q=7*9,q//3=,q=7*9. q//3=
k,//,-,9,4,8,2,-6,k=9//4,k-8=,k=9//4. k-8=
v,//,*,2,7,3,0,0,v=2//7,v*3=,v=2//7. v*3=
n,+,*,1,6,8,7,56,n=1+6,n*8=,n=1+6. n*8=
q,+,*,4,6,9,10,90,q=4+6,q*9=,q=4+6. q*9=
s,-,*,5,7,1,-2,-2,s=5-7,s*1=,s=5-7. s*1=
m,//,//,6,3,5,2,0,m=6//3,m//5=,m=6//3. m//5=
r,-,-,1,9,5,-8,-13,r=1-9,r-5=,r=1-9. r-5=
w,-,*,6,4,2,2,4,w=6-4,w*2=,w=6-4. w*2=
r,*,*,8,8,2,64,128,r=8*8,r*2=,r=8*8. r*2=
g,-,//,2,4,8,-2,-1,g=2-4,g//8=,g=2-4. g//8=
c,//,-,1,4,6,0,-6,c=1//4,c-6=,c=1//4. c-6=
c,+,+,6,4,1,10,11,c=6+4,c+1=,c=6+4. c+1=
m,-,-,9,7,4,2,-2,m=9-7,m-4=,m=9-7. m-4=
x,-,+,4,5,2,-1,1,x=4-5,x+2=,x=4-5. x+2=
d,-,-,5,9,7,-4,-11,d=5-9,d-7=,d=5-9. d-7=
u,+,//,9,5,1,14,14,u=9+5,u//1=,u=9+5. u//1=
n,+,//,6,2,4,8,2,n=6+2,n//4=,n=6+2. n//4=
c,-,-,7,6,2,1,-1,c=7-6,c-2=,c=7-6. c-2=
y,+,-,7,5,4,12,8,y=7+5,y-4=,y=7+5. y-4=
b,//,*,7,6,2,1,2,b=7//6,b*2=,b=7//6. b*2=
d,*,-,8,3,9,24,15,d=8*3,d-9=,d=8*3. d-9=
o,*,-,7,5,1,35,34,o=7*5,o-1=,o=7*5. o-1=
p,-,*,2,5,5,-3,-15,p=2-5,p*5=,p=2-5. p*5=
w,-,+,3,3,3,0,3,w=3-3,w+3=,w=3-3. w+3=
j,*,+,8,6,7,48,55,j=8*6,j+7=,j=8*6. j+7=
z,//,+,3,5,3,0,3,z=3//5,z+3=,z=3//5. z+3=
r,*,//,2,8,2,16,8,r=2*8,r//2=,r=2*8. r//2=
b,//,//,8,1,4,8,2,b=8//1,b//4=,b=8//1. b//4=
b,+,*,2,1,5,3,15,b=2+1,b*5=,b=2+1. b*5=
y,-,*,9,7,3,2,6,y=9-7,y*3=,y=9-7. y*3=
u,*,-,3,1,2,3,1,u=3*1,u-2=,u=3*1. u-2=
r,-,-,4,7,1,-3,-4,r=4-7,r-1=,r=4-7. r-1=
x,+,-,2,2,9,4,-5,x=2+2,x-9=,x=2+2. x-9=
b,+,+,2,7,4,9,13,b=2+7,b+4=,b=2+7. b+4=
z,-,//,4,8,6,-4,-1,z=4-8,z//6=,z=4-8. z//6=
n,*,-,9,7,3,63,60,n=9*7,n-3=,n=9*7. n-3=
o,+,-,9,4,6,13,7,o=9+4,o-6=,o=9+4. o-6=
b,-,//,3,2,1,1,1,b=3-2,b//1=,b=3-2. b//1=
d,//,//,3,2,1,1,1,d=3//2,d//1=,d=3//2. d//1=
n,-,-,2,3,7,-1,-8,n=2-3,n-7=,n=2-3. n-7=
b,*,+,1,6,7,6,13,b=1*6,b+7=,b=1*6. b+7=
m,*,+,3,6,5,18,23,m=3*6,m+5=,m=3*6. m+5=
r,+,//,5,8,3,13,4,r=5+8,r//3=,r=5+8. r//3=
h,*,+,8,4,7,32,39,h=8*4,h+7=,h=8*4. h+7=
s,//,-,9,1,8,9,1,s=9//1,s-8=,s=9//1. s-8=
c,*,//,7,4,1,28,28,c=7*4,c//1=,c=7*4. c//1=
n,-,+,3,5,5,-2,3,n=3-5,n+5=,n=3-5. n+5=
t,-,//,8,4,8,4,0,t=8-4,t//8=,t=8-4. t//8=
w,//,+,7,5,4,1,5,w=7//5,w+4=,w=7//5. w+4=
n,-,*,9,4,3,5,15,n=9-4,n*3=,n=9-4. n*3=
o,//,*,6,2,5,3,15,o=6//2,o*5=,o=6//2. o*5=
e,//,-,7,6,7,1,-6,e=7//6,e-7=,e=7//6. e-7=
h,+,+,7,3,1,10,11,h=7+3,h+1=,h=7+3. h+1=
r,*,+,3,2,2,6,8,r=3*2,r+2=,r=3*2. r+2=
q,//,//,5,2,7,2,0,q=5//2,q//7=,q=5//2. q//7=
j,+,-,1,7,7,8,1,j=1+7,j-7=,j=1+7. j-7=
l,//,-,9,8,2,1,-1,l=9//8,l-2=,l=9//8. l-2=
g,+,-,4,9,4,13,9,g=4+9,g-4=,g=4+9. g-4=
g,//,//,4,2,5,2,0,g=4//2,g//5=,g=4//2. g//5=
y,*,*,8,1,9,8,72,y=8*1,y*9=,y=8*1. y*9=
n,+,-,9,8,9,17,8,n=9+8,n-9=,n=9+8. n-9=
u,//,+,6,3,3,2,5,u=6//3,u+3=,u=6//3. u+3=
i,*,*,4,2,1,8,8,i=4*2,i*1=,i=4*2. i*1=
g,+,*,9,9,8,18,144,g=9+9,g*8=,g=9+9. g*8=
d,//,//,3,9,5,0,0,d=3//9,d//5=,d=3//9. d//5=
i,*,+,8,7,3,56,59,i=8*7,i+3=,i=8*7. i+3=
a,-,//,6,5,2,1,0,a=6-5,a//2=,a=6-5. a//2=
h,-,//,6,7,2,-1,-1,h=6-7,h//2=,h=6-7. h//2=
m,+,-,1,1,3,2,-1,m=1+1,m-3=,m=1+1. m-3=
m,+,-,3,7,8,10,2,m=3+7,m-8=,m=3+7. m-8=
c,-,*,6,6,7,0,0,c=6-6,c*7=,c=6-6. c*7=
h,*,//,4,6,4,24,6,h=4*6,h//4=,h=4*6. h//4=
r,//,//,7,9,4,0,0,r=7//9,r//4=,r=7//9. r//4=
d,+,*,8,6,1,14,14,d=8+6,d*1=,d=8+6. d*1=
h,+,-,8,5,7,13,6,h=8+5,h-7=,h=8+5. h-7=
u,-,+,9,3,5,6,11,u=9-3,u+5=,u=9-3. u+5=
g,//,//,2,4,3,0,0,g=2//4,g//3=,g=2//4. g//3=
u,//,//,3,2,2,1,0,u=3//2,u//2=,u=3//2. u//2=
y,*,+,2,2,1,4,5,y=2*2,y+1=,y=2*2. y+1=
h,*,+,3,6,8,18,26,h=3*6,h+8=,h=3*6. h+8=
d,*,+,5,7,6,35,41,d=5*7,d+6=,d=5*7. d+6=
s,+,*,4,2,9,6,54,s=4+2,s*9=,s=4+2. s*9=
j,//,//,1,6,9,0,0,j=1//6,j//9=,j=1//6. j//9=
n,//,+,4,7,8,0,8,n=4//7,n+8=,n=4//7. n+8=
y,*,-,2,1,9,2,-7,y=2*1,y-9=,y=2*1. y-9=
z,*,*,1,4,2,4,8,z=1*4,z*2=,z=1*4. z*2=
a,*,-,7,5,7,35,28,a=7*5,a-7=,a=7*5. a-7=
z,*,+,6,8,5,48,53,z=6*8,z+5=,z=6*8. z+5=
e,*,*,9,5,3,45,135,e=9*5,e*3=,e=9*5. e*3=
w,-,//,5,6,2,-1,-1,w=5-6,w//2=,w=5-6. w//2=
z,//,-,7,5,6,1,-5,z=7//5,z-6=,z=7//5. z-6=
n,//,//,1,6,2,0,0,n=1//6,n//2=,n=1//6. n//2=
i,*,-,3,6,4,18,14,i=3*6,i-4=,i=3*6. i-4=
w,+,+,8,4,5,12,17,w=8+4,w+5=,w=8+4. w+5=
o,+,//,6,2,7,8,1,o=6+2,o//7=,o=6+2. o//7=
s,+,+,9,6,5,15,20,s=9+6,s+5=,s=9+6. s+5=
o,+,+,7,5,4,12,16,o=7+5,o+4=,o=7+5. o+4=
s,+,*,5,5,5,10,50,s=5+5,s*5=,s=5+5. s*5=
r,-,//,9,2,3,7,2,r=9-2,r//3=,r=9-2. r//3=
z,*,*,9,3,2,27,54,z=9*3,z*2=,z=9*3. z*2=
m,//,//,7,2,8,3,0,m=7//2,m//8=,m=7//2. m//8=
z,//,+,2,7,8,0,8,z=2//7,z+8=,z=2//7. z+8=
i,-,*,1,8,2,-7,-14,i=1-8,i*2=,i=1-8. i*2=
z,+,//,3,7,8,10,1,z=3+7,z//8=,z=3+7. z//8=
e,//,//,1,7,4,0,0,e=1//7,e//4=,e=1//7. e//4=
y,//,+,8,5,7,1,8,y=8//5,y+7=,y=8//5. y+7=
o,//,*,7,3,8,2,16,o=7//3,o*8=,o=7//3. o*8=
h,//,*,5,8,8,0,0,h=5//8,h*8=,h=5//8. h*8=
x,*,-,7,3,4,21,17,x=7*3,x-4=,x=7*3. x-4=
r,//,+,3,4,3,0,3,r=3//4,r+3=,r=3//4. r+3=
t,*,//,1,9,1,9,9,t=1*9,t//1=,t=1*9. t//1=
y,//,//,6,3,3,2,0,y=6//3,y//3=,y=6//3. y//3=
t,-,-,6,3,2,3,1,t=6-3,t-2=,t=6-3. t-2=
e,-,*,2,7,4,-5,-20,e=2-7,e*4=,e=2-7. e*4=
p,+,-,5,4,2,9,7,p=5+4,p-2=,p=5+4. p-2=
k,*,+,5,3,8,15,23,k=5*3,k+8=,k=5*3. k+8=
r,-,+,5,9,3,-4,-1,r=5-9,r+3=,r=5-9. r+3=
i,+,//,1,3,7,4,0,i=1+3,i//7=,i=1+3. i//7=
f,*,-,4,6,7,24,17,f=4*6,f-7=,f=4*6. f-7=
z,-,//,7,5,2,2,1,z=7-5,z//2=,z=7-5. z//2=
f,//,-,9,1,7,9,2,f=9//1,f-7=,f=9//1. f-7=
u,*,*,8,7,9,56,504,u=8*7,u*9=,u=8*7. u*9=
j,+,//,5,2,3,7,2,j=5+2,j//3=,j=5+2. j//3=
y,-,-,8,3,9,5,-4,y=8-3,y-9=,y=8-3. y-9=
l,//,//,2,2,3,1,0,l=2//2,l//3=,l=2//2. l//3=
z,+,//,5,3,9,8,0,z=5+3,z//9=,z=5+3. z//9=
d,-,-,5,2,8,3,-5,d=5-2,d-8=,d=5-2. d-8=
o,-,*,3,4,7,-1,-7,o=3-4,o*7=,o=3-4. o*7=
o,-,//,9,8,6,1,0,o=9-8,o//6=,o=9-8. o//6=
y,//,-,1,1,6,1,-5,y=1//1,y-6=,y=1//1. y-6=
v,+,//,8,4,7,12,1,v=8+4,v//7=,v=8+4. v//7=
p,//,-,4,2,1,2,1,p=4//2,p-1=,p=4//2. p-1=
f,*,+,5,3,2,15,17,f=5*3,f+2=,f=5*3. f+2=
o,//,+,3,7,6,0,6,o=3//7,o+6=,o=3//7. o+6=
d,-,//,3,4,9,-1,-1,d=3-4,d//9=,d=3-4. d//9=
t,-,-,8,8,5,0,-5,t=8-8,t-5=,t=8-8. t-5=
o,-,+,5,3,6,2,8,o=5-3,o+6=,o=5-3. o+6=
v,//,*,4,7,7,0,0,v=4//7,v*7=,v=4//7. v*7=
a,+,*,6,8,9,14,126,a=6+8,a*9=,a=6+8. a*9=
c,//,+,6,6,2,1,3,c=6//6,c+2=,c=6//6. c+2=
v,*,+,3,1,4,3,7,v=3*1,v+4=,v=3*1. v+4=
p,//,//,7,3,9,2,0,p=7//3,p//9=,p=7//3. p//9=
z,-,//,4,1,5,3,0,z=4-1,z//5=,z=4-1. z//5=
u,//,+,9,3,1,3,4,u=9//3,u+1=,u=9//3. u+1=
v,+,//,9,3,5,12,2,v=9+3,v//5=,v=9+3. v//5=
r,+,-,9,1,5,10,5,r=9+1,r-5=,r=9+1. r-5=
r,-,//,8,6,1,2,2,r=8-6,r//1=,r=8-6. r//1=
m,+,-,6,7,5,13,8,m=6+7,m-5=,m=6+7. m-5=
w,//,+,7,9,7,0,7,w=7//9,w+7=,w=7//9. w+7=
r,*,+,2,4,1,8,9,r=2*4,r+1=,r=2*4. r+1=
f,-,//,6,8,4,-2,-1,f=6-8,f//4=,f=6-8. f//4=
q,+,//,5,7,4,12,3,q=5+7,q//4=,q=5+7. q//4=
u,//,*,8,4,1,2,2,u=8//4,u*1=,u=8//4. u*1=
y,//,-,6,4,4,1,-3,y=6//4,y-4=,y=6//4. y-4=
s,//,-,7,6,2,1,-1,s=7//6,s-2=,s=7//6. s-2=
h,-,*,3,6,8,-3,-24,h=3-6,h*8=,h=3-6. h*8=
w,*,*,8,8,8,64,512,w=8*8,w*8=,w=8*8. w*8=
p,*,+,2,4,1,8,9,p=2*4,p+1=,p=2*4. p+1=
q,//,+,4,5,8,0,8,q=4//5,q+8=,q=4//5. q+8=
e,-,+,2,5,8,-3,5,e=2-5,e+8=,e=2-5. e+8=
p,*,*,7,5,8,35,280,p=7*5,p*8=,p=7*5. p*8=
x,-,-,1,3,4,-2,-6,x=1-3,x-4=,x=1-3. x-4=
v,+,//,4,9,1,13,13,v=4+9,v//1=,v=4+9. v//1=
d,+,//,7,4,4,11,2,d=7+4,d//4=,d=7+4. d//4=
b,+,+,1,8,8,9,17,b=1+8,b+8=,b=1+8. b+8=
q,*,*,1,3,1,3,3,q=1*3,q*1=,q=1*3. q*1=
b,//,+,4,9,8,0,8,b=4//9,b+8=,b=4//9. b+8=
g,//,*,6,8,5,0,0,g=6//8,g*5=,g=6//8. g*5=
z,//,//,6,8,9,0,0,z=6//8,z//9=,z=6//8. z//9=
e,*,-,9,6,9,54,45,e=9*6,e-9=,e=9*6. e-9=
w,-,+,6,2,3,4,7,w=6-2,w+3=,w=6-2. w+3=
r,+,-,2,9,6,11,5,r=2+9,r-6=,r=2+9. r-6=
k,*,-,1,5,7,5,-2,k=1*5,k-7=,k=1*5. k-7=
r,*,*,7,3,5,21,105,r=7*3,r*5=,r=7*3. r*5=
g,//,+,3,2,7,1,8,g=3//2,g+7=,g=3//2. g+7=
o,//,//,3,2,6,1,0,o=3//2,o//6=,o=3//2. o//6=
c,//,*,1,5,7,0,0,c=1//5,c*7=,c=1//5. c*7=
j,*,*,6,4,5,24,120,j=6*4,j*5=,j=6*4. j*5=
f,-,*,7,3,5,4,20,f=7-3,f*5=,f=7-3. f*5=
l,*,//,4,4,2,16,8,l=4*4,l//2=,l=4*4. l//2=
h,//,//,5,7,7,0,0,h=5//7,h//7=,h=5//7. h//7=
b,*,-,4,9,1,36,35,b=4*9,b-1=,b=4*9. b-1=
q,//,+,4,8,8,0,8,q=4//8,q+8=,q=4//8. q+8=
